dt_ecriture;exercice_comptable;nøpiece;nom_fichier;libelle;type;ttc;tva;ht;mode_rglt;etat_statut;idt_mode_reg;idt_statut;idt_ss_categorie
2020-01-10;2020;Cipav 2020_1;CIPAV-2020.pdf;CIPAV 2020;CIPAV 2020;971.34;;;VRMT;;5;;7
2020-01-09;2020;Note De Frais N°0886;1011-NDF_0886.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-01-12;2020;Facture 0052-8640-1236;PearsonVue-0052-8640-1236.pdf;Pearson Vue;Frais examen de certification;108;18;90;CB PRO;;3;;40
2020-01-14;2020;Note De Frais N°0887;1012-NDF_0887.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-01-16;2020;Note De Frais N°0888;1013-NDF_0888.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-01-20;2020;Note De Frais N°1974493_66;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
2020-01-17;2020;Note De Frais N°0889;1014-NDF_0889.pdf;Number Steak house 5;Restauration;37.5;3.83;33.67;CB PRO;;3;;15
2020-01-18;2020;Note De Frais N°0890;1015-NDF_0890.pdf;Le palais d'emeraude;Restauration;91;8.27;82.73;CB PRO;;3;;15
2020-01-20;2020;Note De Frais N°0891;1016-NDF_0891.pdf;LECLERC;Carburant Auto;68.99;11.5;57.49;CB PRO;;3;;10
2020-01-21;2020;Note De Frais N°0892;1017-NDF_0892.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-01-23;2020;Note De Frais N°0893;1018-NDF_0893.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-01-24;2020;Facture FAC_293480;FAC_Whizlabs_Invoice_293480;Whizlab;Achat logiciel informatique;51.9;;;CB PRO;;3;;21
2020-01-26;2020;Note De Frais N°0894;1019-NDF_0894.pdf;Number Steak house 5;Restauration;21.4;2.36;19.04;CB PRO;;3;;15
2020-01-25;2020;Note De Frais N°0895;1020-NDF_0895.pdf;Old Wild West;Restauration;47.2;4.58;42.62;CB PRO;;3;;15
2020-01-31;2020;Note De Frais N°0896;1021-NDF_0896.pdf;Forfait mobile de Janvier 2020;Forfait mobile de Janvier 2020;50;;;VRMT;PAYE;5;1;33
2020-01-31;2020;Note De Frais N°0896_1;1021-NDF_0896.pdf;Forfait internet de  Janvier 2020;Forfait internet de  Janvier 2020;50;;;VRMT;PAYE;5;1;34
2020-01-31;2020;Note De Frais N°0896_2;1021-NDF_0896.pdf;EDF de  Janvier 2020;EDF de  Janvier 2020;50;;;VRMT;PAYE;5;1;32
2020-02-10;2020;Facture N° 2017-03-14;F2017-03-14_mlso_jurid;HMG;Facture Juridique 2020;360;60;300;VRMT;;5;;29
2020-02-20;2020;Facture N°20337752;G-SHP-2934-17-2159.pdf;Darty;Achat matériel Informatique;259.99;43.33;216.66;;;0;;21
2020-02-18;2020;Note De Frais N°0897;1022-NDF_0897.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-02-20;2020;Note De Frais N°0884_2;Macif-2020.pdf;MACIF;Assurance Auto;81.91;;;VRMT;;5;;40
2020-02-20;2020;Note De Frais N°1974493_67;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
